dl_id	dl_stem1	dl_stem2	dl_stem3	dl_stem4	dl_pos	dl_grammar_code	dl_type	dl_variant	dl_gender	dl_comparison	dl_kind	dl_aux_case	dl_age	dl_area	dl_geography	dl_frequency	dl_source	dl_senses
20780	glutinator	glutinator			N	3 1 M P	3	1	M		P		X	X	X	E	C	one who glues books, a bookbinder;
20781	glutinos	glutinos			ADJ	1 1 POS	1	1		POS			X	X	X	D	O	viscous, sticky, glutinous; full of/smeared with glue; rich in gelatin (food);
20782	gluto	gluton			N	3 1 M P	3	1	M		P		X	X	X	E	C	glutton;
20783	glutti	glutt	-	-	V	3 4 TRANS	3	4			TRANS		X	X	X	E	C	swallow, gulp down;
20784	glutto	glutton			N	3 1 M P	3	1	M		P		X	X	X	E	C	glutton;
20785	glyconi	glyconi			ADJ	1 1 POS	1	1		POS			X	P	X	E	S	Glyconic; type of poetic meter;
20786	glycyrrhiz	glycyrrhiz			N	1 1 F T	1	1	F		T		D	A	X	N	S	licorice root (Pliny);
20787	glycyrrhiz	glycyrrhiz			N	2 8 N T	2	8	N		T		D	A	X	N	S	licorice root (Pliny);
20788	Gnae	Gnae			N	2 1 M N	2	1	M		N		X	X	I	D	X	Gnaeus (Roman praenomen); (abb. Cn.);
20789	gnar	gnar			ADJ	1 1 POS	1	1		POS			X	X	X	D	X	having knowledge or experience of; known;
20790	gnaritas	gnaritat			N	3 1 F T	3	1	F		T		F	X	X	E	N	knowledge;
20791	gnasc	gnasc	-	gnat	V	3 1 DEP	3	1			DEP		X	X	X	A	O	be produced spontaneously, come into existence/being; spring forth, grow; live; be born/begotten/formed/destined; rise (stars), dawn; start, originate; arise;
20792	gnat	gnat			N	1 1 F P	1	1	F		P		X	X	X	C	O	daughter;
20793	gnat	gnat			N	2 1 M P	2	1	M		P		X	X	X	C	O	son; child; children (pl.);
20794	gnec	gnec			N	2 6 F T	2	6	F		T		X	A	X	E	O	safflower (Carthamus tinctorius); similar thistle;
20795	gnosc	gnosc	gnov	gnot	V	3 1 TRANS	3	1			TRANS		X	X	X	A	O	get to know; learn, find out; become cognizant of/acquainted/familiar with; examine, study, inspect; try (case); recognize, accept as valid/true; recall;
20796	gobi	gobi			N	2 1 M T	2	1	M		T		X	A	X	C	O	small fish; (of the gudgeon kind); (used for bait); (Gobio);
20797	gobio	gobion			N	3 1 M T	3	1	M		T		X	A	X	F	O	small fish; (of the gudgeon kind); (used for bait); (Gobio);
